date/time: .11/02/2014.11:45 a.m.
Run 1

time	(V)	V	(V)
0.027000	-1.522939E-1	7.546488E-1	6.151868E-2
0.027063	-1.799086E-1	6.670267E-1	6.216564E-2
0.027125	-1.874398E-1	5.869151E-1	6.216564E-2
0.027188	-2.025024E-1	5.193210E-1	6.475347E-2
0.027250	-2.175650E-1	4.692512E-1	6.410651E-2
0.027313	-2.225858E-1	4.417129E-1	6.410651E-2
0.027375	-2.376484E-1	4.016571E-1	6.345955E-2
0.027438	-2.426692E-1	3.691117E-1	6.216564E-2
0.027500	-2.627526E-1	3.390699E-1	6.281260E-2
0.027563	-2.627526E-1	3.290560E-1	6.281260E-2
0.027625	-2.753047E-1	3.165385E-1	6.281260E-2
0.027688	-2.828360E-1	2.965106E-1	6.087172E-2
0.027750	-2.953881E-1	2.664688E-1	5.957781E-2
0.027813	-3.079403E-1	2.539513E-1	6.151868E-2
0.027875	-3.104507E-1	2.414339E-1	6.087172E-2
0.027938	-3.230028E-1	1.988746E-1	6.087172E-2
0.028000	-3.330445E-1	1.463014E-1	6.216564E-2
0.028063	-3.355550E-1	1.087491E-1	6.151868E-2
0.028125	-3.405758E-1	8.121073E-2	6.216564E-2
0.028188	-3.405758E-1	3.614796E-2	6.281260E-2
0.028250	-3.430862E-1	-1.392178E-2	6.345955E-2
0.028313	-3.481071E-1	-5.147409E-2	6.345955E-2
0.028375	-3.380654E-1	-7.650896E-2	6.410651E-2
0.028438	-3.330445E-1	-1.090543E-1	6.410651E-2
0.028500	-3.280237E-1	-1.591240E-1	6.216564E-2
0.028563	-3.230028E-1	-1.966763E-1	6.216564E-2
0.028625	-3.129611E-1	-2.167042E-1	6.281260E-2
