date/time: .11/02/2014.11:45 a.m.
Run 1

time	(V)	V	(V)
0.026000	1.866136E-1	-5.271366E-1	6.345955E-2
0.026063	2.041866E-1	-4.745634E-1	6.475347E-2
0.026125	2.167387E-1	-4.420181E-1	6.216564E-2
0.026188	2.267804E-1	-4.169832E-1	6.087172E-2
0.026250	2.443534E-1	-3.844379E-1	6.216564E-2
0.026313	2.569055E-1	-3.418786E-1	6.281260E-2
0.026375	2.669472E-1	-3.243542E-1	6.087172E-2
0.026438	2.769889E-1	-3.143402E-1	6.087172E-2
0.026500	2.870306E-1	-2.893054E-1	6.022476E-2
0.026563	2.895410E-1	-2.642705E-1	6.151868E-2
0.026625	3.020932E-1	-2.417391E-1	6.087172E-2
0.026688	3.071140E-1	-2.442426E-1	6.216564E-2
0.026750	3.196661E-1	-2.342287E-1	6.216564E-2
0.026813	3.196661E-1	-1.766484E-1	6.216564E-2
0.026875	3.246870E-1	-1.340892E-1	6.216564E-2
0.026938	3.322183E-1	-1.065508E-1	6.410651E-2
0.027000	3.297078E-1	-7.400547E-2	6.410651E-2
0.027063	3.397495E-1	-2.143224E-2	6.410651E-2
0.027125	3.422600E-1	2.363052E-2	6.345955E-2
0.027188	3.397495E-1	3.865145E-2	6.345955E-2
0.027250	3.372391E-1	6.869329E-2	6.087172E-2
0.027313	3.347287E-1	1.087491E-1	6.281260E-2
0.027375	3.372391E-1	1.513084E-1	6.216564E-2
0.027438	3.297078E-1	1.788467E-1	6.281260E-2
0.027500	3.196661E-1	2.063851E-1	5.957781E-2
0.027563	3.171557E-1	2.489444E-1	6.022476E-2
0.027625	2.970723E-1	2.890002E-1	6.087172E-2
0.027688	2.870306E-1	3.190420E-1	6.087172E-2
0.027750	2.744785E-1	3.415734E-1	6.216564E-2
0.027813	2.619263E-1	3.816292E-1	6.151868E-2
0.027875	2.418429E-1	4.166780E-1	6.281260E-2
0.027938	2.267804E-1	4.417129E-1	6.281260E-2
